名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
百宏御璟天下香林墅,晋江万达,118.583115416427,24.8915005022612,507.2,22998,5室2厅,220,南,毛坯,中楼层(共7层),板楼,130
百捷中央公园华府,泉州桥南,118.599685559858,24.8960788886932,345,22287,4室2厅,154,南北,简装,中楼层(共33层),板塔结合,50
海上海领海苑,东海,121.356488887895,31.3215271167977,390,27864,4室1厅,139,南,毛坯,低楼层(共39层),板楼,130
世茂御龙湾满堂红,晋江万达,116.459315674798,39.9230077923451,196,16761,3室2厅,116,南,精装,中楼层(共42层),板楼,70
万达华府E区,晋江万达,118.794651182594,25.0292367480653,195,24504,3室2厅,79,南,简装,中楼层(共32层),板楼,110
世茂云城一期,泉港区,113.31646330983,23.1169351951808,115,8127,4室2厅,141,南,精装,低楼层(共33层),板塔结合,30
梅龙小区,晋江万达,119.304814691719,26.0783995148112,225,18945,3室2厅,118,南,毛坯,中楼层(共17层),板楼,50
紫湖绿景山庄,紫帽镇,121.754290727051,31.1869986452953,218,9533,4室2厅,228,东南,毛坯,低楼层(共9层),板塔结合,170
逸涛商住城,泉港区,102.703582074246,25.0753097904384,59,4541,3室2厅,129,南北,简装,高楼层(共6层),暂无数据,90
永嘉天地,泉港区,113.741851856225,34.7781903443593,65,9145,3室1厅,71,西,精装,高楼层(共20层),板楼,50
聚星国际城,惠安县,121.40604822322,31.1114742924083,87,6800,3室2厅,127,东北,毛坯,中楼层(共14层),平房,90
中骏四季花城2期,泉州桥南,121.207508691949,37.5388671153086,170,19485,3室2厅,87,南北,简装,高楼层(共34层),塔楼,150
中骏四季花城2期,泉州桥南,120.643031475589,31.2885421224929,220,21605,3室2厅,101,东南南,精装,中楼层(共34层),板楼,350
中央公园首府,泉州桥南,121.356488887895,31.3215271167977,245,20409,4室2厅,120,东南南西南,精装,低楼层(共31层),塔楼,110
嘉祥·领寓,南环路,114.089504877205,22.5486862804858,145,15592,3室2厅,93,东南,精装,中楼层(共18层),塔楼,90
百信御江帝景一期,泉州桥南,118.607251897336,24.8958302832926,463.98,26500,4室2厅,175,南,精装,高楼层(共33层),塔楼,30
晋德苑,安海镇,118.598603910194,24.8764870842294,205,16325,3室1厅,125,东南,毛坯,中楼层(共30层),板塔结合,30
嘉琳广场,洛江区,123.216812405808,41.2010747629446,198,12994,3室2厅,152,南,毛坯,中楼层(共33层),板楼,50
中骏四季花城2期,泉州桥南,120.364772778008,22.6197224774186,170,19622,3室2厅,86,东南,毛坯,高楼层(共34层),板楼,70
建福小区,涂门街,116.723524646933,23.3777757806284,138,20910,3室1厅,66,东南,精装,中楼层(共5层),板楼,270
世茂御龙湾满堂红,晋江万达,118.581933,24.908846,314,17943,4室2厅,175,东南,精装,中楼层(共33层),板楼,50
嘉琳广场,洛江区,120.214258757366,31.5876097784991,177,14658,3室1厅,120,东南,精装,中楼层(共32层),板楼,130
嘉琳广场,洛江区,118.617954552727,24.9135181089427,122,14992,2室2厅,81,北,精装,高楼层(共34层),板楼,50
东仁园,东湖,118.580578062684,24.8458588515739,140,15101,3室2厅,92,东北,简装,低楼层(共6层),板楼,130
中升花苑小区,东湖,121.567661469214,31.1967529615431,260,15445,4室3厅,168,南,精装,高楼层(共6层),板塔结合,150
蓝郡国际,台商投资区,118.783798843562,25.0202815207388,95,9079,3室1厅,104,南,毛坯,低楼层(共32层),塔楼,70
温陵北拓小区,东湖,118.759565092484,34.5479186273643,173.5,13035,4室1厅,133,西,简装,中楼层(共7层),暂无数据,370
中骏柏景湾,城东,113.648057966687,22.8560520193224,300,35834,3室1厅,83,东南,精装,高楼层(共30层),板塔结合,70
嘉琳广场,洛江区,123.216812405808,41.2010747629446,230,14460,3室2厅,159,东南,精装,中楼层(共33层),板楼,290
泰禾首府,城东,116.723524646933,23.3777757806284,267,21477,3室2厅,124,南,精装,低楼层(共32层),板塔结合,630
世茂摩天城4期,服装城,115.774646423499,26.90959011099,125,12020,3室2厅,104,南,毛坯,中楼层(共41层),平房,30
